268,Brazil-2,31
269,Solomon Islands,185
270,Dolfijn,21
271,Senegal,178
272,Cape Verde,50
273,Tip,57
274,Yugoslavia-1,229
275,rn-2,70
276,Crete,53
277,Breslau,15
278,Germany-3,81
279,Romania-2,171
280,Club Nautique de Dieppe-5,71
281,Norna,152
282,Fram,152
283,Magda IX,152
284,Soviet Union-3,216
285,Equatorial Guinea,80
286,Bolivia,29
287,Saar,175
288,Andorra,6
289,Japan-2,106
290,Austria-1,15
291,Austria-2,15
292,Antigua and Barbuda,8
293,EA II,71
294,Canada-3,38
295,Czechoslovakia-3,199
296,Linglom,201
297,Denmark-2,57
298,Mosk II,152
299,Latvia-2,116
300,Elisabeth X,152
301,Sweden-3,195
302,Ludwigshafener Ruderverein,81
303,Australia-2,14
304,Latvia-1,116
305,Guyoni,71
306,Greece-1,83
307,Greece-2,83
308,West Germany-2,72
309,"La Salle Turnverein, Chicago",218
310,Gallant,218
311,Zimbabwe,231
312,Grenada,84
313,Hera-1,76
314,Swedish Star,195
315,Bulgaria-1,34
316,Nautikos Omilos-3,83
317,Wolseley-Siddeley-1,76
318,Hong Kong,90
319,Ciocca II,102
320,Mirtala,102
321,Saint Lucia,119
322,Carabinier-5,71
323,Pettit-Poucet-6,71
324,Carabinier-15,71
325,Federated States of Micronesia,73
326,Myanmar,143
327,Hirondelle,139
328,Kerstin-1,195
329,Evita VI,15
330,Ukraine-2,214
331,Russia-3,173
332,Malawi,129
333,Belarus-1,27
334,United States-3,218
335,Bronia,81
336,Zambia,230
337,Denmark-1,57
338,Bluebottle,76
339,West Germany-1,72
340,Rhodesia,169
341,East Germany-2,78
342,Snap,57
343,Chinese Taipei-1,206
344,Sao Tome and Principe,190
345,Toronto Argonauts,38
346,England-1,76
347,Hungaria Evezos Egylet,92
348,Poland-1,164
349,Macedonia,135
350,Bohemia,28
351,Argonaut Rowing Club,38
352,"Life boat naval ship ""Spetsai""-1",83
353,Australia-1,14
354,Tonga,200
355,Nigeria-1,150
356,Fortuna,76
357,Starlight III,76
358,Liechtenstein,122
359,Pan,152
360,Montenegro,138
361,Leander Club-2,76
362,"Lemzos Thorichton ""Psara""-3",83
363,London City Police-1,76
364,Great Britain-3,76
365,Sabre,76
366,Firebird II,207
367,Berliner Ruderverein von 1876-2,81
368,Christian Brothers' College-1,218
369,Czechoslovakia-1,199
370,Czechoslovakia-2,199
371,"Passaic Turnverein, Passaic",218
372,Primorka,229
373,Gambia,75
374,Racing Club de France,71
375,Grifo III,165
376,Grifo IV,165
377,Bingo,218
378,Damoiselle IV,139
379,Crabe II-12,71
380,Nina Claire-30,71
381,Crabe II-1,71
382,Crabe II-4,71
383,Nina Claire-2,71
384,Qu'Importe,71
385,Konstanz,229
386,Suzy-2,21
387,Mouchette-2,76
388,Dansk Idrts Forbund,57
389,Marmara,209
390,Moseley Wanderers,76
391,Chicago Athletic Association-2,218
392,Devon and Somerset Wanderers,76
393,Unified Team-2,68
394,Mistral Hojris,76
395,Cook Islands,47
396,Mauritius-2,141
397,Albania,4
398,Romania-1,171
399,Pampero,10
400,Israel-2,100
401,Symphony,165
402,Sjhxa,165
403,Faneca,165
404,Ciocca III,165
405,"Marinai della nave da guerra ""Varese""",102
406,Lalage,76
407,Gallia II,173
408,Dinah V,81
409,Czech Republic-2,56
410,Nora,152
411,Monica,152
412,Kullan,195
413,Shoveller,172
414,Amateur Athletic Association,76
415,Circus,225
416,Aletta,97
417,Widgeon,218
418,Inca,31
419,Czech Republic-1,56
420,Relampago,14
421,Foxhunters Hurlingham,76
422,Thames Rowing Club,76
423,"Davenport Turngemeinde, Davenport",218
424,"Norwegier Turnverein, Brooklyn",218
